timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
20.00;359.217085;1;264485089_0;171.552225;0.000000;12.134173;DEFAULT_VEHTYPE;9.234393;45.475857
20.00;89.660807;10;329092952_0;119.596330;0.000000;21.084996;DEFAULT_VEHTYPE;9.228569;45.479237
20.00;269.433473;11;-60361104#3_0;84.441797;0.000000;10.210510;DEFAULT_VEHTYPE;9.231137;45.476944
20.00;359.068729;12;211138994#0_0;63.841684;0.000000;8.917603;DEFAULT_VEHTYPE;9.230011;45.479149
20.00;359.181786;13;264485079#2_0;59.799663;0.000000;13.589733;DEFAULT_VEHTYPE;9.234364;45.478190
20.00;359.181786;14;264485079#2_0;27.509525;0.000000;8.751786;DEFAULT_VEHTYPE;9.234368;45.477900
20.00;269.430339;15;-60361104#6_0;33.166543;0.000000;9.437315;DEFAULT_VEHTYPE;9.233803;45.476957
20.00;179.471662;16;-264479892#1_0;25.537545;0.000000;8.209491;DEFAULT_VEHTYPE;9.234310;45.479203
20.00;89.430440;17;60361104#5_0;19.115168;0.000000;7.069582;DEFAULT_VEHTYPE;9.232654;45.476923
20.00;269.433473;18;-60361104#3_0;11.915430;0.000000;4.637119;DEFAULT_VEHTYPE;9.232065;45.476949
20.00;359.217085;2;264485089_0;144.577372;0.000000;13.935238;DEFAULT_VEHTYPE;9.234396;45.475614
20.00;89.660807;20;329092952_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.227104;45.479234
20.00;100.469835;3;:206146658_6_0;3.938610;0.000000;6.740810;DEFAULT_VEHTYPE;9.229945;45.479232
20.00;359.741021;4;264485089_0;107.882072;0.000000;14.265951;DEFAULT_VEHTYPE;9.234400;45.475284
20.00;358.954203;5;263965140#3_0;67.493597;0.000000;10.445714;DEFAULT_VEHTYPE;9.230028;45.478327
20.00;179.208794;6;-263965140#2_0;62.322833;0.000000;13.786702;DEFAULT_VEHTYPE;9.230010;45.477102
20.00;217.435414;7;-263965140#3_0;1.785180;0.000000;2.183584;DEFAULT_VEHTYPE;9.229984;45.478467
20.00;269.428140;8;-60361104#2_0;28.133523;0.000000;12.636100;DEFAULT_VEHTYPE;9.230560;45.476941
20.00;359.426270;9;264485089_0;49.674274;0.000000;10.713772;DEFAULT_VEHTYPE;9.234403;45.474760
21.00;359.185884;0;264485089_0;247.748090;0.000000;14.592146;DEFAULT_VEHTYPE;9.234383;45.476543
21.00;359.419141;1;264485089_0;183.859701;0.000000;12.307476;DEFAULT_VEHTYPE;9.234391;45.475968
21.00;89.660807;10;329092952_0;142.540904;0.000000;22.944574;DEFAULT_VEHTYPE;9.228862;45.479238
21.00;269.433473;11;-60361104#3_0;91.149271;0.000000;6.707474;DEFAULT_VEHTYPE;9.231051;45.476944
21.00;359.028955;12;:4321237112_0_0;3.117991;0.000000;4.486307;DEFAULT_VEHTYPE;9.230011;45.479189
21.00;359.181786;13;264485079#2_0;73.565313;0.000000;13.765651;DEFAULT_VEHTYPE;9.234362;45.478314
21.00;359.181786;14;264485079#2_0;37.944347;0.000000;10.434822;DEFAULT_VEHTYPE;9.234367;45.477993
21.00;269.430339;15;-60361104#6_0;45.144533;0.000000;11.977989;DEFAULT_VEHTYPE;9.233650;45.476957
21.00;179.471662;16;-264479892#1_0;35.188239;0.000000;9.650694;DEFAULT_VEHTYPE;9.234311;45.479116
21.00;89.430440;17;60361104#5_0;28.471268;0.000000;9.356099;DEFAULT_VEHTYPE;9.232773;45.476923
21.00;269.433473;18;-60361104#3_0;19.080217;0.000000;7.164787;DEFAULT_VEHTYPE;9.231973;45.476948
21.00;359.217085;2;264485089_0;157.764967;0.000000;13.187595;DEFAULT_VEHTYPE;9.234395;45.475733
21.00;89.660807;20;329092952_0;6.813685;0.000000;1.713685;DEFAULT_VEHTYPE;9.227126;45.479234
21.00;359.320367;21;19786541#0_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.230087;45.474521
21.00;162.706517;3;:4321237112_2_0;1.042517;0.000000;5.543907;DEFAULT_VEHTYPE;9.229970;45.479188
21.00;359.741021;4;264485089_0;121.020832;0.000000;13.138759;DEFAULT_VEHTYPE;9.234399;45.475402
21.00;358.954203;5;263965140#3_0;76.295869;0.000000;8.802272;DEFAULT_VEHTYPE;9.230026;45.478406
21.00;178.935537;6;-263965140#0_0;1.012464;0.000000;11.229632;DEFAULT_VEHTYPE;9.230012;45.477001
21.00;178.954203;7;-263965140#3_0;5.716404;0.000000;3.931223;DEFAULT_VEHTYPE;9.229984;45.478432
21.00;269.428140;8;-60361104#2_0;40.975949;0.000000;12.842426;DEFAULT_VEHTYPE;9.230395;45.476941
21.00;359.426270;9;264485089_0;60.879173;0.000000;11.204899;DEFAULT_VEHTYPE;9.234402;45.474861
22.00;359.185884;0;264485089_0;261.372279;0.000000;13.624190;DEFAULT_VEHTYPE;9.234381;45.476665
22.00;359.407752;1;264485089_0;195.723731;0.000000;11.864030;DEFAULT_VEHTYPE;9.234390;45.476074
22.00;89.660807;10;329092952_0;165.763026;0.000000;23.222123;DEFAULT_VEHTYPE;9.229159;45.479238
