timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
47.00;359.12;t_2;264479894#0_0;12.04;0.00;12.43;DEFAULT_VEHTYPE;596.31;586.42
47.00;168.66;t_3;:cluster_206146391_206146658_355348355_14_0;9.17;0.00;4.12;DEFAULT_VEHTYPE;255.94;559.22
48.00;90.18;t_1;23687156#0_0;5.73;0.00;6.13;DEFAULT_VEHTYPE;269.26;546.42
48.00;359.12;t_2;264479894#0_0;24.67;0.00;12.63;DEFAULT_VEHTYPE;596.12;599.05
48.00;163.39;t_3;:cluster_206146391_206146658_355348355_22_0;4.37;0.00;5.20;DEFAULT_VEHTYPE;257.42;554.24
49.00;89.50;t_1;23687156#0_0;13.85;0.00;8.12;DEFAULT_VEHTYPE;277.38;546.49
49.00;359.10;t_2;:2533650947_4_0;3.28;0.00;12.37;DEFAULT_VEHTYPE;595.93;611.41
49.00;151.67;t_3;:cluster_206146391_206146658_355348355_22_0;10.76;0.00;6.39;DEFAULT_VEHTYPE;260.42;548.63
50.00;89.50;t_1;23687156#0_0;23.40;0.00;9.56;DEFAULT_VEHTYPE;286.93;546.57
50.00;359.09;t_2;264479894#1_0;5.76;0.00;11.88;DEFAULT_VEHTYPE;595.74;623.30
50.00;91.66;t_3;23687156#0_0;4.78;0.00;8.58;DEFAULT_VEHTYPE;268.31;546.43
51.00;89.50;t_1;23687156#0_0;35.39;0.00;11.99;DEFAULT_VEHTYPE;298.92;546.68
51.00;359.09;t_2;264479894#1_0;18.05;0.00;12.28;DEFAULT_VEHTYPE;595.54;635.58
51.00;89.50;t_3;23687156#0_0;14.26;0.00;9.48;DEFAULT_VEHTYPE;277.79;546.49
52.00;89.50;t_1;23687156#0_0;49.69;0.00;14.30;DEFAULT_VEHTYPE;313.21;546.80
52.00;359.09;t_2;264479894#1_0;29.94;0.00;11.90;DEFAULT_VEHTYPE;595.36;647.48
52.00;89.50;t_3;23687156#0_0;25.43;0.00;11.17;DEFAULT_VEHTYPE;288.96;546.59
53.00;89.50;t_1;23687156#0_0;66.28;0.00;16.59;DEFAULT_VEHTYPE;329.80;546.95
53.00;359.09;t_2;264479894#1_0;37.34;0.00;7.40;DEFAULT_VEHTYPE;595.24;654.87
53.00;89.50;t_3;23687156#0_0;38.52;0.00;13.09;DEFAULT_VEHTYPE;302.05;546.70
54.00;89.50;t_1;23687156#0_0;84.45;0.00;18.18;DEFAULT_VEHTYPE;347.98;547.11
54.00;359.09;t_2;264479894#1_0;40.23;0.00;2.90;DEFAULT_VEHTYPE;595.19;657.77
54.00;89.50;t_3;23687156#0_0;53.78;0.00;15.26;DEFAULT_VEHTYPE;317.31;546.84
55.00;89.50;t_1;23687156#0_0;104.93;0.00;20.48;DEFAULT_VEHTYPE;368.46;547.29
55.00;359.09;t_2;264479894#1_0;40.36;0.00;0.13;DEFAULT_VEHTYPE;595.19;657.89
55.00;89.50;t_3;23687156#0_0;71.46;0.00;17.69;DEFAULT_VEHTYPE;334.99;546.99
56.00;75.55;t_1;23687156#0_0;126.80;0.00;21.87;DEFAULT_VEHTYPE;389.98;550.41
56.00;359.09;t_2;264479894#1_0;40.38;0.00;0.02;DEFAULT_VEHTYPE;595.19;657.92
56.00;89.50;t_3;23687156#0_0;91.47;0.00;20.00;DEFAULT_VEHTYPE;354.99;547.17
57.00;60.50;t_1;23687156#0_0;149.41;0.00;22.61;DEFAULT_VEHTYPE;410.23;560.40
57.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
57.00;86.52;t_3;23687156#0_0;112.78;0.00;21.32;DEFAULT_VEHTYPE;376.29;547.62
58.00;60.50;t_1;23687156#0_0;172.41;0.00;22.99;DEFAULT_VEHTYPE;430.24;571.72
58.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
58.00;67.65;t_3;23687156#0_0;134.71;0.00;21.93;DEFAULT_VEHTYPE;397.30;553.42
59.00;60.40;t_1;:cluster_2614544862_2614544863_2926412925_6_0;5.08;0.00;23.18;DEFAULT_VEHTYPE;450.40;583.15
59.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
59.00;60.50;t_3;23687156#0_0;156.67;0.00;21.96;DEFAULT_VEHTYPE;416.55;563.97
